taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
160883853,2362868,86960,"Pseudorasbora parva (Temminck & Schlegel, 1846)",,,Animalia,species
160883854,8156718,86891,Oxalis fontana,,,Plantae,species
160883855,2362839,86900,"Parabramis pekinensis (Basilewsky, 1855)",,,Animalia,species
160883856,2891677,86890,Oxalis dillenii Jacq.,,,Plantae,species
160883857,2362110,86861,"Mylopharyngodon piceus (Richardson, 1846)",,,Animalia,species
160883859,2362745,86840,"Megalobrama terminalis (Richardson, 1846)",,,Animalia,species
160883861,2362473,86781,"Hypophthalmichthys molitrix (Valenciennes, 1844)",,,Animalia,species
160883862,3753098,87009,Saxifraga cymbalaria L.,,,Plantae,species
160883863,2362486,86782,"Hypophthalmichthys nobilis (Richardson, 1845)",,,Animalia,species
160883865,2362030,86670,"Ctenopharyngodon idella (Valenciennes, 1844)",,,Animalia,species
160883866,2986111,86979,Ribes aureum Pursh,,,Plantae,species
160883867,2366634,86624,"Carassius gibelio (Bloch, 1782)",,,Animalia,species
160883868,4286942,86623,"Carassius auratus (Linnaeus, 1758)",,,Animalia,species
160883869,2986097,86980,Ribes rubrum L.,,,Plantae,species
160883874,5202793,86647,"Clarias gariepinus (Burchell, 1822)",,,Animalia,species
160883875,5361786,86863,Myriophyllum brasiliense Cambess.,201309992,Myriophyllum aquaticum Verdc.,Plantae,species
160883876,5202818,86648,"Clarias ngamensis Castelnau, 1861",,,Animalia,species
160883880,5202520,86786,"Ictalurus punctatus (Rafinesque, 1818)",,,Animalia,species
160883881,5362018,87015,Sedum spurium Bieb.,201309988,Phedimus spurius (M.Bieb.) 't Hart,Plantae,species
160883882,2340989,86543,"Ameiurus nebulosus (Lesueur, 1819)",,,Animalia,species
160883883,2985949,87016,Sempervivum tectorum L.,,,Plantae,species
160883884,2340977,86542,"Ameiurus melas (Rafinesque, 1820)",,,Animalia,species
160883885,5362004,87014,Sedum sarmentosum Bunge,,,Plantae,species
160883887,2985863,86777,Hylotelephium spectabile (Boreau) H.Ohba,,,Plantae,species
160883891,9752149,86920,"Phasianus colchicus Linnaeus, 1758",,,Animalia,species
160883894,2891583,86754,Geranium sibiricum L.,,,Plantae,species
160883897,5232437,86594,"Branta canadensis (Linnaeus, 1758)",,,Animalia,species
160883899,2498035,86549,"Anser indicus (Latham, 1790)",,,Animalia,species
160883900,8176318,87105,Viola wittrockiana Gams ex Nauenb. & Buttler,,,Plantae,species
160883901,2498252,86518,"Alopochen aegyptiaca (Linnaeus, 1766)",,,Animalia,species
160883904,5372639,87001,Salix babylonica L.,,,Plantae,species
160883907,8190077,86944,Populus canadensis Moench,,,Plantae,species
160883910,5176589,87056,"Sphaeroma walkeri Stebbing, 1905",,,Animalia,species
160883911,2873861,86818,Linum usitatissimum L.,,,Plantae,species
160883915,5380041,86981,Ricinus communis L.,,,Plantae,species
160883916,2227663,86976,"Rhithropanopeus harrisii (Gould, 1841)",,,Animalia,species
160883917,3067869,86729,Euphorbia chamaesyce L.,,,Plantae,species
160883919,3066993,86730,Euphorbia dentata Michx.,,,Plantae,species
160883921,3067054,86731,Euphorbia humifusa Willd.,,,Plantae,species
160883922,8879526,86950,"Procambarus fallax f. virginalis Martin, Dorn, Kawai, van der Heiden & Scholtz, 2010",201309859,"Procambarus fallax (Hagen, 1870)",Animalia,form
160883923,3067119,86732,Euphorbia maculata L.,,,Plantae,species
160883924,2227000,86887,"Orconectes limosus (Rafinesque, 1817)",,,Animalia,species
160883925,3064943,86733,Euphorbia marginata Pursh,,,Plantae,species
160883927,3070346,86734,Euphorbia nutans Lag.,,,Plantae,species
160883928,2226990,86893,"Pacifastacus leniusculus (Dana, 1852)",,,Animalia,species
160883929,3067891,86735,Euphorbia prostrata Ait.,,,Plantae,species
160883931,3066495,86736,Euphorbia segetalis L.,,,Plantae,species
160883932,2224970,86894,"Palaemon macrodactylus M.J.Rathbun, 1902",,,Animalia,species
160883936,2227699,86737,"Eurypanopeus depressus Smith, 1869",,,Animalia,species
160883939,6427720,86715,Epilobium adenocaulon Hausskn.,201309967,Epilobium ciliatum subsp. Ciliatum,Plantae,species
160883940,2225772,86769,"Hemigrapsus sanguineus (De Haan, 1835)",,,Animalia,species
160883941,3188924,86879,Oenothera biennis L.,,,Plantae,species
160883942,2225776,86723,"Eriocheir sinensis H.Milne Edwards, 1853",,,Animalia,species
160883943,3188894,86880,Oenothera glazioviana Micheli,,,Plantae,species
