taxonID,taxonKey,scientificName,action,acceptedKey,accepted
33058,148742217,"Micropterus dolomieu LacÃ©pÃ¨de, 1802",not_matched_with_backbone,,
33327,148742236,Phleum graecum,scientificName_replaced_by_backbone_name,,
33431,148742248,Polypogon monspeliensis Desf.,scientificName_replaced_by_backbone_name,,
31645,148742255,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831",scientificName_replaced_by_backbone_name,,
32939,148742269,Lolium siculum Parl.,merged_with_accepted,148742267,Lolium multiflorum Lam.
32938,148742272,Lolium rigidum subsp. rigidum,not_matched_with_backbone,,
32145,148742273,"Ceratophysella engadinensis (Gisin, 1949)",merged_with_accepted,201357638,"Ceratophysella denticulata (Bagnall, 1941)"
33083,148742275,Muehlenbergia mexicana,not_matched_with_backbone,,
32813,148742280,Koeleria macrantha Schult.,scientificName_replaced_by_backbone_name,,
32752,148742284,Hordeum geniculatum,scientificName_replaced_by_backbone_name,,
32755,148742292,Hordeum violaceum,scientificName_replaced_by_backbone_name,,
32832,148742300,"Lamyctinus coeculus (Brölemann, 1889)",merged_with_accepted,201357673,"Lamyctes coeculus (Brölemann, 1889)"
32451,148742309,Echinochloa colona (L.) Link,scientificName_replaced_by_backbone_name,,
32481,148742314,Elymus marginatus (H.Lindb.) Ã .LÃ¶ve,not_matched_with_backbone,,
32522,148742320,Eriochloa villosa Kunth,scientificName_replaced_by_backbone_name,,
32509,148742321,Eragrostis pilosa P.Beauv.,scientificName_replaced_by_backbone_name,,
32504,148742327,Eragrostis aegyptiaca Delile,scientificName_replaced_by_backbone_name,,
32664,148742328,"Haplophilus subterraneus (Shaw, 1789)",merged_with_accepted,201357663,"Stigmatogaster subterranea Shaw, 1789"
32237,148742333,"Clinopodes linearis C.L.Koch, 1835",scientificName_replaced_by_backbone_name,,
32376,148742335,Dasypyrum villosum (L.) BorbÃ¡s,scientificName_replaced_by_backbone_name,,
32368,148742338,Dactyloctenium aegypticum,not_matched_with_backbone,,
31983,148742343,"Brachyschendyla dentata Brölemann & Ribaut, 1911",merged_with_accepted,201357660,"Schendyla dentata Brölemann & Ribaut, 1911"
32419,148742347,Digitaria sanguinalis var. sanguinalis,merged_with_accepted,148742344,Digitaria sanguinalis (L.) Scop.
31643,148742352,Achnatherum calamagrostis P.Beauv.,scientificName_replaced_by_backbone_name,,
31667,148742358,Aegilops ovata L.,merged_with_accepted,148742355,Aegilops neglecta Req. ex Bertol.
31943,148742373,Beckmannia syzigachne Fernald,scientificName_replaced_by_backbone_name,,
31854,148742375,Artemia tonosa,not_matched_with_backbone,,
31920,148742376,Avena barbata Link,scientificName_replaced_by_backbone_name,,
31924,148742381,Avena sativa var. contracta Neilr.,merged_with_accepted,148742378,Avena sativa L.
31927,148742388,Avena sterilis subsp. ludoviciana (Durieu) M.Gillet & Magne,scientificName_replaced_by_backbone_name,,
32704,148742402,Hemitarsonemus latus Ewing,merged_with_accepted,201357632,"Polyphagotarsonemus latus (Banks, 1904)"
32143,148742410,Ceratochloa sitchensis (Trin.) Cope & Ryves,merged_with_accepted,148742409,Bromus sitchensis Trin.
32641,148742414,"Glycyphagus domesticus (De Geer, 1778)",scientificName_replaced_by_backbone_name,,
32006,148742417,Bromus hordeaceus subsp. divaricatus (Bonnier & de Layens) KerguÃ©len,scientificName_replaced_by_backbone_name,,
33413,148742421,"Platybunus pinetorum (C.L.Koch, 1839)",scientificName_replaced_by_backbone_name,,
32409,148742428,"Dicranopalpus ramosus (E.Simon, 1909)",scientificName_replaced_by_backbone_name,,
32154,148742429,Chaetopogon fasciculatus Hack. & Lange,not_matched_with_backbone,,
33862,148742439,"Tegenaria agrestis (Walckenaer, 1802)",merged_with_accepted,201357611,"Eratigena agrestis (Walckenaer, 1802)"
33266,148742445,Parthenocissus inserta (A.Kerner) Fritsch,merged_with_accepted,201358013,Parthenocissus vitacea (Knerr) Hitchc.
33221,148742452,Oxalis articulata Savign.,scientificName_replaced_by_backbone_name,,
33225,148742455,Oxalis stricta,scientificName_replaced_by_backbone_name,,
33346,148742457,"Physocyclus simoni Berland, 1911",merged_with_accepted,201357615,"Psilochorus simoni (Berland, 1911)"
33208,148742463,Ostearius maelanopygius,not_matched_with_backbone,,
33055,148742467,Micariolepis dives,scientificName_replaced_by_backbone_name,,
32527,148742481,Erodium malacoides (L.) L'HÃ©r.,not_matched_with_backbone,,
32528,148742482,Erodium moschatum (Burm.f.) L'HÃ©r.,not_matched_with_backbone,,
32525,148742484,Erodium chium Willd.,scientificName_replaced_by_backbone_name,,
32526,148742488,Erodium ciconium (L.) L'HÃ©r.,not_matched_with_backbone,,
32524,148742489,Erodium botrys Bertol.,scientificName_replaced_by_backbone_name,,
32270,148742499,Cornus alba subsp. stolonifera (Michx.) Wangerin,merged_with_accepted,201358006,Incertae sedis
33412,148742509,"Platorchestia platensis (Krøyer, 1845)",merged_with_accepted,201358053,"Orchestia platensis Krøyer, 1844"
33449,148742513,Populus tremula subsp. tremuloides (Michx.) A.LÃ¶ve & D.LÃ¶ve,not_matched_with_backbone,201358040,Incertae sedis
